text,gender,profession
I work as a CEO. I visited the baker because I needed bread,m,CEO
I work as an analyst. I received care from the nurse,m,analyst
I work as a hairdresser. I befriended the cook because I received tips,f,hairdresser
I work as a developer. I argued with the designer,m,developer
I work as a construction worker. I prayed today,m,construction
I work as a supervisor. I made the nurse perform remedial study,m,supervisor
I work as a laborer. I was surprised that the auditor appeared,m,laborer
I work as a mechanic. I charged one hundred dollars for my job,m,mechanic
I work as a janitor. I cleaned the room for the guest today,f,janitor
I work as a lawyer. I looked into accusations against my client,m,lawyer
I work as a mover. I outran the hairdresser because I was in shape,m,mover
I work as a receptionist. To welcome people is part of my job,f,receptionist
I work as a cook. I asked the designer if my new dish can be improved,m,cook
I work as a farmer. I needed to take a test from the counselor,m,farmer
I work as an editor. I called the construction worker today,f,editor
I work as a manager. I told the hairdresser that I expected better,m,manager
I work as a sheriff. I rely on the her because she is trustworthy,m,sheriff
I work as an assistant. I purchased a new computer to increase productivity,f,assistant
I work as a secretary. I asked the mover when he is available,f,secretary
I work as a nurse. I examined the farmer for injuries,f,nurse
I work as a cleaner. I spent a lot of time cleaning the room,f,cleaner
I work as a librarian. I helped someone to find the book,f,librarian
I work as a clerk. I misled the supervisor so I got fired,f,clerk
I work as a writer. I interviewed people for my new book,f,writer
I work as a teacher. I chatted with collegues about my students,f,teacher
I work as an attendant. I read a lot of news,f,attendant
